city,year,people,air_general_level,net_salary,avg_age,ilm,birth,crimes,criminals,death,pens,preschool_child,length_of_roads,energy_consumption,migration_net,housing_stock,wage,workers,poverty_level,housing_price
Арзамас,2018,104366.0,1.0,27804.0,41.29,10776.0,10.3,1332.0,591.0,11.8,93.85,6.1,448.7,178.7,-54.0,25.6,32330.3,31.3,9.5,55848.36
Арзамас,2019,104135.0,1.0,29839.0,41.45,10776.0,9.6,1332.0,591.0,12.1,93.85,6.0,521.5,201.2,310.0,26.0,34696.9,32.3,9.5,55977.1
Арзамас,2020,103400.0,1.0,32692.0,41.63,10776.0,9.6,1332.0,591.0,12.1,93.85,6.0,566.1,211.4,100.0,26.48,34696.9,32.3,9.4,75319.84
Арзамас,2021,102706.0,2.0,35580.0,41.75,10776.0,9.6,1332.0,591.0,12.1,93.85,6.0,193.6,175.4,27.0,26.85,34696.9,32.3,8.3,92311.11
Арзамас,2022,103279.0,2.0,38722.0,41.8,10776.0,9.6,1332.0,591.0,12.1,93.85,6.0,362.9,198.7,-148.0,27.23,34696.9,32.3,7.5,105651.48
Армянск,2015,22531.0,3.0,37615.0,40.78,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,309.6,186.0,81.0,14.4,40126.3,84.1,17.3,46684.88
Армянск,2016,22473.0,2.0,37615.0,40.84,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,459.7,187.4,81.0,15.4,40126.3,84.1,17.3,46684.88
Армянск,2017,22284.0,2.0,37615.0,40.91,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,544.0,210.6,81.0,15.9,40126.3,84.1,17.3,54183.07
Армянск,2018,22050.0,2.0,37615.0,41.05,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,571.4,213.4,81.0,16.6,40126.3,84.1,17.3,65601.5
Армянск,2019,21823.0,2.0,37615.0,41.2,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,484.2,186.3,81.0,17.5,40126.3,84.1,17.4,61804.42
Армянск,2020,21600.0,2.0,37615.0,41.37,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,448.5,172.6,81.0,18.32,40126.3,84.1,17.5,73472.33
Армянск,2021,21400.0,3.0,37615.0,41.53,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,523.1,158.6,81.0,19.19,40126.3,84.1,16.5,97916.45
Армянск,2022,21000.0,3.0,37615.0,41.57,10776.0,10.8,4785.5,1966.5,11.9,93.85,18.9,461.5,172.7,81.0,19.87,40126.3,84.1,14.2,117281.08
Артем,2015,104694.0,1.0,30210.0,39.21,10776.0,13.3,2888.0,1010.0,13.7,36.5,6.1,330.0,196.4,1464.0,22.2,35127.8,21.0,13.9,53706.03
Артем,2016,105391.0,1.0,33691.0,39.33,10776.0,12.1,2736.0,902.0,14.4,36.8,6.2,232.9,198.0,1662.0,22.5,39175.9,20.5,13.9,50946.93
Артем,2017,106332.0,1.0,35518.0,39.46,10776.0,11.8,2388.0,956.0,13.4,36.9,6.2,519.9,197.9,108.0,22.8,41299.6,19.3,13.9,49467.63
Артем,2018,107072.0,1.0,39231.0,39.65,10776.0,11.3,2388.0,956.0,12.9,37.2,6.2,264.1,176.8,-64.0,23.1,45617.4,18.9,13.9,82260.34
Артем,2019,107421.0,1.0,43419.0,39.84,10776.0,10.6,2388.0,956.0,13.5,36.9,6.1,403.7,183.3,-482.0,23.4,50487.0,19.0,13.5,59346.12
Артем,2020,107724.0,1.0,47015.0,40.05,10776.0,10.6,2388.0,956.0,13.5,36.9,6.1,386.3,186.2,-144.0,23.95,50487.0,19.0,12.9,108094.73
Артем,2021,108066.0,1.0,51328.0,40.22,10776.0,10.6,2388.0,956.0,13.5,36.9,6.1,204.9,161.6,272.0,24.46,50487.0,19.0,12.2,119249.45
Артем,2022,108556.0,1.0,56036.0,40.34,10776.0,10.6,2388.0,956.0,13.5,36.9,6.1,324.6,213.2,-173.0,25.14,50487.0,19.0,10.3,140333.68
Архангельск,2015,350985.0,2.0,34678.0,39.8,14262.0,11.8,7432.0,3215.0,11.6,115.3,19.0,259.1,301.6,183.0,24.5,40323.7,97.8,12.7,60126.56
Архангельск,2016,350397.0,2.0,37133.0,39.98,14376.0,11.6,6766.0,2791.0,11.4,115.4,19.1,260.3,269.1,204.0,25.2,43177.7,92.9,12.7,57905.72
Архангельск,2017,350982.0,1.0,38784.0,40.15,12377.0,10.0,6818.0,2723.0,11.1,114.9,19.2,488.0,253.3,-1354.0,25.9,45097.7,88.6,12.7,65231.83
Архангельск,2018,350982.0,2.0,43361.0,40.39,12489.0,9.1,6818.0,2723.0,11.0,114.8,19.8,154.2,208.5,-701.0,26.6,50419.6,87.5,12.7,72557.94
Архангельск,2019,349753.0,2.0,46955.0,40.65,13558.0,8.1,6818.0,2723.0,11.3,113.7,19.8,161.9,216.3,-226.0,27.2,54598.8,84.8,12.7,79884.05
Архангельск,2020,347167.0,2.0,50191.0,40.92,13873.0,8.1,6818.0,2723.0,11.3,113.7,19.8,374.2,268.8,-81.0,27.85,54598.8,84.8,11.8,87210.16
Архангельск,2021,344927.0,2.0,54161.0,41.14,13873.0,8.1,6818.0,2723.0,11.3,113.7,19.8,210.3,177.6,379.0,28.82,54598.8,84.8,11.3,94536.27
